13ddg 0.084 11.961798 31.821517
filter R48
#56563.000 20.1721 0.11
#56569.000 19.3908 0.08
#56577.000 19.4748 0.07
#56580.000 19.5780 0.07
#filter Yspm_AB
#56545.000 19.1301 0.06
#56548.000 19.3119 0.05
#56554.000 19.3795 0.10
#56558.000 19.7163 0.09
#56563.000 20.1721 0.11
#56569.000 19.3908 0.08
#56577.000 19.4748 0.07
#56580.000 19.5780 0.07
#filter Jspm_AB
#56545.000 19.7727 0.12
#56548.000 20.1897 0.11
#56577.000 20.1566 0.14
#56580.000 20.6815 0.15
#filter Hspm_AB
#56577.000 20.2484 0.15
#56580.000 20.6852 0.24
