B,V,r,i,J,H
4369.0403137349385,5361.975487682269,6161.077565561718,7550.795016504433,12434.566802604551,16128.179232787257
4368.940313734938,5363.575487682275,6151.927565561685,7548.845016504426,12437.816802604564,16138.329232787295
4364.140313734921,5364.475487682278,6129.627565561604,7539.345016504391,12450.76680260461,16149.629232787334
4368.4903137349365,5363.725487682275,6151.427565561683,7549.145016504427,12435.716802604555,16134.429232787279
4369.49031373494,5361.825487682268,6162.077565561722,7553.445016504443,12431.966802604542,16135.429232787283
4369.690313734941,5363.825487682276,6141.277565561646,7542.245016504402,12448.366802604602,16149.729232787337
4370.890313734945,5369.2754876822955,6105.227565561515,7510.845016504288,12473.416802604694,16163.429232787385
4369.090313734939,5366.375487682285,6132.227565561613,7540.795016504397,12441.316802604575,16149.679232787335
4370.790313734945,5360.725487682264,6166.027565561736,7553.895016504444,12428.966802604531,16140.729232787304
4371.890313734949,5367.175487682288,6137.377565561632,7541.995016504401,12451.416802604614,16148.22923278733
4376.940313734967,5370.6254876823,6124.227565561584,7530.945016504361,12458.066802604637,16158.579232787368
4371.290313734947,5361.975487682269,6150.52756556168,7547.045016504419,12436.016802604558,16153.029232787347
4369.940313734942,5364.92548768228,6148.077565561671,7545.595016504414,12436.96680260456,16142.67923278731
4367.140313734932,5365.375487682281,6128.977565561601,7538.745016504389,12450.966802604611,16150.629232787338
4369.740313734941,5360.025487682262,6170.227565561751,7551.945016504437,12430.266802604536,16135.729232787286
4368.340313734936,5367.525487682289,6125.527565561589,7533.095016504369,12452.566802604617,16156.57923278736
4373.140313734953,5366.925487682287,6151.177565561682,7542.645016504403,12444.616802604589,16148.029232787329
4368.540313734937,5361.425487682267,6166.677565561738,7556.745016504455,12429.816802604535,16128.479232787258
4370.090313734942,5371.4754876823035,6110.777565561535,7516.89501650431,12471.216802604686,16161.629232787378
4366.040313734928,5363.325487682274,6158.227565561708,7553.895016504444,12438.416802604566,16131.82923278727
4373.340313734954,5366.125487682284,6135.527565561625,7541.2950165043985,12442.91680260458,16145.62923278732
4371.740313734948,5361.275487682266,6178.627565561782,7555.745016504451,12434.566802604551,16135.079232787282
4371.690313734948,5367.82548768229,6124.027565561583,7532.595016504367,12453.01680260462,16155.879232787358
4369.740313734941,5358.325487682256,6179.277565561784,7555.895016504452,12429.166802604532,16138.529232787296
4368.440313734936,5362.625487682271,6154.677565561695,7550.6450165044325,12440.166802604572,16135.229232787282
4369.940313734942,5366.725487682286,6141.927565561648,7543.245016504406,12451.266802604612,16147.779232787329
4367.490313734933,5371.925487682305,6104.0275655615105,7505.395016504268,12483.066802604728,16153.429232787348
4370.340313734943,5372.675487682308,6101.477565561501,7493.645016504225,12489.666802604752,16169.229232787406
4369.34031373494,5367.375487682289,6135.827565561626,7541.245016504398,12445.616802604593,16139.829232787299
4376.740313734967,5357.625487682253,6190.127565561824,7558.645016504462,12429.966802604535,16137.62923278729
4365.540313734926,5365.02548768228,6152.027565561685,7547.3450165044205,12442.316802604579,16135.629232787283
4367.590313734933,5361.825487682268,6170.027565561751,7550.995016504434,12439.61680260457,16138.229232787293
4367.840313734934,5362.6754876822715,6151.177565561682,7550.545016504432,12438.816802604568,16134.57923278728
4369.190313734939,5361.225487682266,6172.077565561758,7555.795016504451,12429.866802604534,16130.679232787266
4369.940313734942,5361.225487682266,6164.177565561729,7549.645016504429,12439.86680260457,16136.079232787286
4371.440313734947,5361.125487682266,6164.32756556173,7551.495016504436,12437.216802604562,16138.179232787294
4365.840313734927,5361.525487682267,6150.927565561681,7550.495016504432,12439.066802604568,16136.92923278729
4367.340313734932,5365.12548768228,6148.627565561673,7542.995016504405,12440.11680260457,16138.329232787295
4365.040313734924,5360.625487682264,6175.27756556177,7555.54501650445,12435.766802604556,16125.92923278725
4373.640313734955,5359.875487682261,6178.827565561783,7555.195016504449,12433.716802604547,16136.629232787287
4370.640313734944,5362.525487682271,6146.527565561665,7546.845016504419,12438.866802604567,16152.679232787346
4373.690313734955,5364.825487682279,6147.377565561668,7547.695016504422,12439.066802604568,16145.62923278732
4374.090313734957,5359.025487682258,6173.427565561763,7553.745016504444,12433.766802604549,16141.679232787306
4374.340313734958,5360.675487682264,6167.677565561742,7551.595016504436,12435.566802604555,16144.179232787315
4371.990313734949,5359.225487682259,6176.377565561774,7556.195016504453,12431.116802604538,16132.229232787271
