SN Mbest logSFR NPD ab RA DEC Sloan
SDSS2689           11.297 -10.855  1.704929  0.668615 024.900312 -00.758714 Sloan
SDSS18298          10.885 -10.891  0.086374  0.899259 018.266731 -00.540012 Sloan
SNLS04D4fx          8.523  -9.169  0.394200  0.712437 334.158905 -18.066357 Sloan
SDSS14331           9.577  -9.503  1.183705  0.497058 007.888675 -00.135814 Sloan
SDSS14984          10.388  -9.521  1.135598  0.904496 313.833557 -00.092790 Sloan
sn2004gu           10.456          0.536018  0.151904 191.602997 +11.948917 Sloan
SNLS05D3km         11.895  -9.093  3.403800  0.856608 215.659470 +53.066998 Sloan
SNLS06D2ca         10.010  -9.468  0.932500  0.969821 149.789825 +02.302517 Sloan
sn2004gs            9.192  -9.000  2.959928  0.823381 129.596588 +17.627722 Sloan
SNLS04D1pg          9.899  -9.217  0.080600  0.597999 036.767330 -04.175287 Sloan
SDSS16618          10.115  -9.486  1.474579  0.867703 021.279373 -01.218938 Sloan
SDSS16619           8.295  -9.560  0.190968  0.457762 025.938738 -01.111919 Sloan
SNLS04D1pc         10.469  -9.534  0.687000  0.683882 036.603649 -04.399401 Sloan
SDSS18721          11.179  -9.576  1.311526  0.853517 003.077347 -00.077318 Sloan
SDSS15129          10.791  -9.486  0.764941  0.601097 318.902405 -00.321433 Sloan
SDSS20245          11.638  -9.963  1.285977  0.948641 341.705536 +00.756290 Sloan
SNLS04D1pu          9.446  -9.232  0.365100  0.895413 036.868641 -04.744934 Sloan
SNLS05D2ie          9.308  -9.416  0.993400  0.969599 150.262070 +02.658084 Sloan
SNLS04D1pp         11.540          0.279900  0.747196 036.301994 -04.701584 Sloan
SDSS1794            9.484  -9.560  0.268266  0.539725 317.836823 -00.445333 Sloan
SDSS5957           10.566  -9.998  2.830119  0.963675 034.760574 -00.272839 Sloan
SNLS05D2bw          8.843  -9.078  1.803400  0.748571 149.627319 +02.536402 Sloan
SNLS05D2bv          9.330  -9.364  0.581500  0.939267 150.570831 +02.240600 Sloan
SNLS05D2bt          9.801  -9.093  0.944900  0.657340 150.417679 +02.566161 Sloan
SNLS05D2by          9.816  -8.880  0.476300  0.913504 150.116806 +02.521536 Sloan
SNLS06D3bz         10.684 -10.418  0.533500  0.884137 214.291840 +53.024822 Sloan
SNLS04D3co          9.768 -10.378  0.498200  0.735469 214.458237 +52.963612 Sloan
SNLS03D4fd         10.214  -9.264  1.596300  0.910024 334.060211 -17.395575 Sloan
SDSS2165            9.540  -9.732  0.806962  0.985905 017.091730 -00.096247 Sloan
SDSS18740          10.385  -9.539  3.841102  0.689837 016.855324 +01.043746 Sloan
SDSS15234          10.363  -9.539  0.869932  0.868080 016.958336 +00.828198 Sloan
SDSS11067           9.260  -8.940  0.625933  0.748361 033.518394 -00.239178 Sloan
SDSS17280          10.906  -9.595  2.496300  0.749633 055.791908 +00.102471 Sloan
SDSS12843          11.142 -10.891  1.680913  0.902136 323.878082 -00.980274 Sloan
SNLS04D3cy         10.043  -9.121  1.064500  0.970857 214.551804 +52.658329 Sloan
SDSS18617          10.221  -9.929  0.641036  0.899171 345.761505 +00.849165 Sloan
SDSS18612          10.767  -9.733  0.540320  0.699042 012.287929 +00.596957 Sloan
SNLS05D4cq         10.806  -9.281  1.692300  0.799423 333.540222 -18.226713 Sloan
SNLS05D4cw         10.726 -10.660  0.531100  0.807370 333.708679 -17.738766 Sloan
SDSS18927          10.502  -9.539  0.368677  0.936927 046.682472 -00.754019 Sloan
SDSS19757          10.372  -9.398  3.425961  0.951047 349.481018 +01.222840 Sloan
SDSS1032           10.690          1.331891  0.816016 046.795696 +01.119552 Sloan
SNLS05D4cn         10.672  -9.492  1.075500  0.662073 333.381073 -17.288845 Sloan
sn2001V             9.461  -9.000  3.904556  0.186633 179.353790 +25.202637 Sloan
sn2007kk           11.397  -9.806  1.861441  0.684141 055.596909 +39.241749 Sloan
SDSS13934          10.683  -9.468  1.414001  0.956006 342.111023 -00.435268 Sloan
SDSS15901           9.785  -9.521  0.090914  0.910019 031.976303 -00.535389 Sloan
SNLS04D3hn         11.186  -9.598  0.428000  0.950495 215.528732 +52.228573 Sloan
SNLS05D1em         11.167          2.491200  0.897564 036.023010 -04.939906 Sloan
SNLS05D1eo         11.193          0.558700  0.814549 036.346420 -04.642671 Sloan
SDSS18463          10.154  -9.699  1.415748  0.978498 017.565994 +00.472038 Sloan
SDSS18466          10.852  -9.698  2.126030  0.764071 048.418526 +00.629998 Sloan
sn2010ag            9.369  -9.000  0.692705  0.964545 255.973557 +31.501862 Sloan
SNLS05D3la          9.661  -9.078  1.808200  0.694422 215.355911 +52.357975 Sloan
SDSS15057           9.387  -9.416  0.425592  0.804749 017.881262 +00.409492 Sloan
SNLS05D3lc         10.958  -9.450  0.617000  0.746047 215.595490 +52.478867 Sloan
SDSS15756          11.600 -10.660  1.531932  0.919679 000.374834 +00.275974 Sloan
SDSS16402          11.218 -10.033  0.981376  0.974384 336.367706 +00.265275 Sloan
SNLS05D3lr         11.414  -9.618  2.151400  0.606780 215.550583 +53.184265 Sloan
SDSS13511          11.396 -10.817  1.855483  0.507347 040.612354 -00.794122 Sloan
SDSS19818          10.288  -9.755  0.771262  0.855280 035.266689 +00.496411 Sloan
SNLS03D1fc         10.663 -10.660  0.654400  0.959758 036.431648 -04.144059 Sloan
SDSS19953           9.596  -9.539  0.425154  0.820466 332.930481 +00.579076 Sloan
SDSS17629          11.048  -9.719  1.172110  0.638441 030.636435 -01.089188 Sloan
SNLS04D2fp         10.337  -9.382  1.312100  0.764702 149.867172 +02.321014 Sloan
SNLS03D1fq         11.144  -9.513  0.574900  0.924227 036.731934 -04.302217 Sloan
sn2009lf           10.546          0.972275  0.513169 030.415068 +15.332814 Sloan
SDSS12930           9.711  -8.980  2.196584  0.804553 309.682770 -00.474529 Sloan
SDSS18091          10.822  -9.416  0.960749  0.635981 023.367535 +00.524681 Sloan
SNLS03D4ag         10.611  -9.468  0.498300  0.906735 333.690948 -17.739655 Sloan
sn2001ep           10.053  -9.751  1.861441  0.684141 074.251457 -04.761122 Sloan
SDSS19543           8.387  -8.965  0.141564  0.831200 357.908356 +00.279826 Sloan
SDSS15287          10.754          5.593819  0.882543 323.959686 -01.057435 Sloan
SDSS5391            9.302  -9.633  2.236595  0.833315 052.341984 -01.094704 Sloan
SNLS04D1sk         10.267  -9.169  0.912700  0.524216 036.094910 -04.353621 Sloan
SDSS6249           10.094  -9.699  0.452671  0.949103 003.265553 -00.620118 Sloan
SNLS04D1si         10.946  -9.684  0.401700  0.914246 036.203316 -04.568950 Sloan
SNLS04D4ju          9.478  -9.249  0.529700  0.886243 334.261353 -17.332813 Sloan
SNLS03D4at          8.779  -9.121  0.257300  0.836999 333.600159 -17.776726 Sloan
SNLS04D4jw         11.354 -11.886  0.280300  0.857808 334.328705 -17.665495 Sloan
sn2009kq            8.569  -8.996  1.575215  0.502508 129.063110 +28.067131 Sloan
SNLS04D4jr          8.090  -9.249  1.902200  0.707824 333.559662 -17.350218 Sloan
SNLS03D3cd         10.228  -9.619  0.814400  0.374944 214.666367 +52.612076 Sloan
SDSS19149           9.558  -9.486  2.587436  0.808507 031.460009 -00.331865 Sloan
SNLS05D2my         10.821  -9.577  2.476400  0.874763 149.631042 +02.491220 Sloan
SDSS17497          10.334  -9.539  1.106644  0.830889 037.136570 -01.042117 Sloan
SDSS8046           11.290 -10.817  2.692774  0.625257 039.116806 +00.511273 Sloan
SNLS05D2mp          8.949  -9.347  0.383500  0.899568 149.785965 +02.204004 Sloan
SDSS5550            9.524  -9.539  0.559632  0.798559 003.598291 +00.333052 Sloan
SDSS14451           9.845  -9.503  0.222590  0.933454 308.194946 +00.927069 Sloan
SDSS14871           9.234  -9.712  0.729560  0.823606 054.277100 +00.009360 Sloan
SDSS15872           9.585  -9.721  0.437703  0.873116 036.722496 -00.327810 Sloan
SDSS10434          11.209  -9.784  1.360102  0.181741 329.955902 -01.193712 Sloan
sn2006az           10.055  -9.000  0.925632  0.717471 183.061035 +56.179752 Sloan
SNLS06D3fp          9.792  -9.692  1.357400  0.829741 215.077515 +52.897163 Sloan
SNLS05D2fq         10.984  -9.743  1.535900  0.954069 149.785431 +02.602000 Sloan
SNLS05D4ff         10.509  -9.314  0.433400  0.918586 334.083984 -18.042562 Sloan
SDSS18787          10.735  -9.468  1.923213  0.494548 029.729753 -01.027071 Sloan
SDSS1253           11.165  -9.804  1.018808  0.616094 323.799042 +00.163079 Sloan
sn2008bz           10.757  -9.935  3.421867  0.467742 189.740356 +11.129333 Sloan
SNLS04D3gt         11.361          0.167200  0.594255 215.635803 +52.646912 Sloan
SDSS20470           9.933  -9.712  0.355171  0.604860 052.604916 +01.009437 Sloan
SDSS14481          11.091 -10.779  1.449356  0.842884 002.681734 +00.201306 Sloan
SNLS04D3gx         11.857          5.253800  0.789318 215.056946 +52.282772 Sloan
sn2006mo           11.042          0.644903  0.492192 011.660329 +36.332695 Sloan
SDSS13044           9.711  -9.503  0.997388  0.905338 332.542755 +00.503265 Sloan
SDSS13045          10.535  -9.673  0.391617  0.941508 345.024933 +00.537670 Sloan
SDSS5736           10.156 -10.033  2.145166  0.909912 022.862734 -00.631618 Sloan
SDSS17880          10.266  -9.772  1.707175  0.748098 044.972374 +01.160707 Sloan
SDSS17884          10.271  -9.804  1.593201  0.892255 027.599838 +01.172075 Sloan
SDSS13254           9.981  -9.468  0.459559  0.858448 042.058674 -00.347028 Sloan
SNLS04D3lp          9.128  -8.948  0.145800  0.815811 214.962112 +52.503181 Sloan
SNLS04D3lu         11.164          0.218500  0.791242 215.283203 +52.974785 Sloan
