SN & Host Galaxy & F & Ferr & N & Nerr & u & uerr & g & gerr & r & rerr & i & ierr & z & zerr & y & yerr & J & Jerr & H & Herr & K & Kerr & Mbest & LC \\
SN~2006ev & UGC 11758 & -- & -- & -- & -- & -- & -- & 14.42 & 0.02 & 13.53 & 0.02 & -- & -- & 12.79 & 0.02 & -- & -- & 12.33 & 0.02 & 12.07 & 0.03 & 12.15 & 0.03 & 10.64 & Y \\
SN~2006gj & UGC 2650 & -- & -- & -- & -- & -- & -- & 14.98 & 0.02 & 14.07 & 0.02 & -- & -- & 13.35 & 0.02 & -- & -- & 12.83 & 0.04 & 12.74 & 0.06 & 12.88 & 0.06 & 10.4 & Y \\
SN~2006gr & UGC 12071 & -- & -- & -- & -- & 15.88 & 0.05 & 14.55 & 0.02 & 13.81 & 0.02 & 13.41 & 0.02 & 13.12 & 0.03 & -- & -- & -- & -- & -- & -- & -- & -- & 10.64 & N \\
SN~2006gt & 2MASX J00561810-0137327 & -- & -- & 22.04 & 0.16 & 18.53 & 0.08 & 16.8 & 0.02 & 16.0 & 0.02 & 15.63 & 0.02 & 15.34 & 0.03 & -- & -- & 15.45 & 0.12 & 15.32 & 0.21 & 15.34 & 0.17 & 10.06 & Y \\
SN~2006hb & MCG -04-12-34 & -- & -- & -- & -- & -- & -- & 13.7 & 0.02 & 12.95 & 0.02 & -- & -- & 12.4 & 0.02 & -- & -- & 12.09 & 0.03 & 11.91 & 0.03 & 12.11 & 0.05 & 10.27 & Y \\
SN~2006hx & PGC 73820 & -- & -- & 20.22 & 0.05 & -- & -- & 16.07 & 0.02 & 15.3 & 0.02 & -- & -- & 14.73 & 0.02 & -- & -- & 14.8 & 0.08 & 14.36 & 0.09 & 14.59 & 0.1 & 10.26 & Y \\
SN~2006is & ESO 486- G 049 & -- & -- & -- & -- & -- & -- & 19.14 & 0.02 & 18.96 & 0.02 & -- & -- & 18.89 & 0.02 & -- & -- & -- & -- & -- & -- & -- & -- & 7.84 & Y \\
SN~2006kf & UGC 2829 & -- & -- & -- & -- & 15.5 & 0.05 & 13.68 & 0.02 & 12.87 & 0.02 & 12.48 & 0.02 & 12.19 & 0.03 & -- & -- & 11.84 & 0.02 & 11.63 & 0.03 & 11.83 & 0.03 & 10.65 & Y \\
SN~2006le & UGC 3218 & 15.2 & 0.11 & 14.18 & 0.04 & -- & -- & 14.29 & 0.02 & 14.59 & 0.02 & 12.76 & 0.02 & 11.77 & 0.02 & -- & -- & 10.92 & 0.02 & 10.74 & 0.02 & 10.95 & 0.02 & 10.06 & Y \\
SN~2006lf & UGC 3108 & -- & -- & -- & -- & -- & -- & 13.51 & 0.02 & 13.81 & 0.02 & 13.52 & 0.02 & -- & -- & -- & -- & 11.08 & 0.04 & 10.95 & 0.03 & 11.13 & 0.03 & 9.76 & Y \\
SN~2006lu & 2MASX J09151727-2536001 & 18.84 & 0.19 & 18.52 & 0.11 & -- & -- & 16.49 & 0.02 & 15.94 & 0.02 & 15.6 & 0.02 & 15.53 & 0.02 & 15.28 & 0.02 & 14.91 & 0.12 & 14.76 & 0.19 & 14.99 & 0.15 & 10.07 & N \\
SN~2006mq & ESO 494-G26 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2006mr & NGC 1316 & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & -- & N \\
SN~2006ob & UGC 1333 & 18.5 & 0.02 & 17.94 & 0.02 & 17.07 & 0.06 & 15.13 & 0.02 & 14.28 & 0.02 & 13.86 & 0.02 & 13.56 & 0.03 & -- & -- & 13.15 & 0.03 & 12.92 & 0.06 & 13.3 & 0.05 & 10.92 & N \\
SN~2006os & UGC 2384 & -- & -- & -- & -- & -- & -- & 14.61 & 0.02 & 13.85 & 0.02 & 13.61 & 0.02 & 13.19 & 0.02 & 12.91 & 0.02 & 12.61 & 0.03 & 12.41 & 0.04 & 12.49 & 0.04 & 10.63 & Y \\
SN~2006ot & ESO 544-G31 & -- & -- & 20.2 & 0.2 & -- & -- & 14.66 & 0.02 & 13.77 & 0.02 & -- & -- & 13.11 & 0.02 & -- & -- & 12.68 & 0.03 & 12.56 & 0.04 & 12.69 & 0.05 & 11.09 & N \\
